Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
BRISK, BRISK, 1, 12.4857, 15.351, -2.86526
BRISK, BRISK, 2, 12.7245, 22.9119, -10.1874
BRISK, BRISK, 3, 19.866, 14.844, 5.02207
BRISK, BRISK, 4, 14.0501, 15.9905, -1.94049
BRISK, BRISK, 5, 12.5319, 23.0541, -10.5222
BRISK, BRISK, 6, 13.8845, 15.8565, -1.97204
BRISK, BRISK, 7, 13.4805, 19.4278, -5.94737
BRISK, BRISK, 8, 14.0734, 14.3091, -0.235688
BRISK, BRISK, 9, 13.0205, 13.5175, -0.496935
BRISK, BRISK, 10, 11.9077, 12.1481, -0.240355
BRISK, BRISK, 11, 11.2423, 11.5846, -0.342239
BRISK, BRISK, 12, 9.69089, 12.0958, -2.40494
BRISK, BRISK, 13, 9.61285, 11.2358, -1.62294
BRISK, BRISK, 14, 9.1458, 13.5974, -4.45156
BRISK, BRISK, 15, 8.38699, 13.2023, -4.81532
BRISK, BRISK, 16, 8.96962, 11.0747, -2.10508
BRISK, BRISK, 17, 10.9895, 9.18957, 1.79995
BRISK, BRISK, 18, 8.49633, 10.3108, -1.81449
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
BRISK, ORB, 1, 12.4857, 19.0745, -6.5888
BRISK, ORB, 2, 12.7245, 18.7225, -5.99805
BRISK, ORB, 3, 19.866, 16.3219, 3.54417
BRISK, ORB, 4, 14.0501, 17.2706, -3.2205
BRISK, ORB, 5, 12.5319, 18.4677, -5.93575
BRISK, ORB, 6, 13.8845, 17.0525, -3.16809
BRISK, ORB, 7, 13.4805, 16.5411, -3.06063
BRISK, ORB, 8, 14.0734, 14.6656, -0.592184
BRISK, ORB, 9, 13.0205, 17.072, -4.05151
BRISK, ORB, 10, 11.9077, 12.1862, -0.278429
BRISK, ORB, 11, 11.2423, 12.0578, -0.81544
BRISK, ORB, 12, 9.69089, 12.1808, -2.48993
BRISK, ORB, 13, 9.61285, 11.7708, -2.15794
BRISK, ORB, 14, 9.1458, 13.0988, -3.95302
BRISK, ORB, 15, 8.38699, 12.6315, -4.24448
BRISK, ORB, 16, 8.96962, 10.7732, -1.80359
BRISK, ORB, 17, 10.9895, 9.45118, 1.53834
BRISK, ORB, 18, 8.49633, 11.0227, -2.5264
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
BRISK, BRIEF, 1, 12.4857, 14.6847, -2.19894
BRISK, BRIEF, 2, 12.7245, 21.8587, -9.13422
BRISK, BRIEF, 3, 19.866, 14.5861, 5.27993
BRISK, BRIEF, 4, 14.0501, 21.4185, -7.36843
BRISK, BRIEF, 5, 12.5319, 17.9636, -5.43161
BRISK, BRIEF, 6, 13.8845, 16.4432, -2.55872
BRISK, BRIEF, 7, 13.4805, 17.4532, -3.97274
BRISK, BRIEF, 8, 14.0734, 16.4799, -2.40646
BRISK, BRIEF, 9, 13.0205, 15.5498, -2.52927
BRISK, BRIEF, 10, 11.9077, 11.4764, 0.431299
BRISK, BRIEF, 11, 11.2423, 11.2105, 0.0318088
BRISK, BRIEF, 12, 9.69089, 13.7574, -4.06652
BRISK, BRIEF, 13, 9.61285, 11.4199, -1.80701
BRISK, BRIEF, 14, 9.1458, 13.4217, -4.27591
BRISK, BRIEF, 15, 8.38699, 11.6732, -3.28621
BRISK, BRIEF, 16, 8.96962, 10.7916, -1.82194
BRISK, BRIEF, 17, 10.9895, 10.7717, 0.21781
BRISK, BRIEF, 18, 8.49633, 9.64967, -1.15333
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
BRISK, SIFT, 1, 12.4857, 18.9226, -6.43683
BRISK, SIFT, 2, 12.7245, 14.9649, -2.24045
BRISK, SIFT, 3, 19.866, 19.0739, 0.792153
BRISK, SIFT, 4, 14.0501, 13.287, 0.763024
BRISK, SIFT, 5, 12.5319, 19.619, -7.08708
BRISK, SIFT, 6, 13.8845, 16.136, -2.25154
BRISK, SIFT, 7, 13.4805, 15.0732, -1.59269
BRISK, SIFT, 8, 14.0734, 14.2687, -0.195311
BRISK, SIFT, 9, 13.0205, 16.6061, -3.58556
BRISK, SIFT, 10, 11.9077, 13.9106, -2.00289
BRISK, SIFT, 11, 11.2423, 13.7987, -2.55634
BRISK, SIFT, 12, 9.69089, 14.4678, -4.77694
BRISK, SIFT, 13, 9.61285, 12.3565, -2.74362
BRISK, SIFT, 14, 9.1458, 12.2401, -3.09427
BRISK, SIFT, 15, 8.38699, 14.2163, -5.82931
BRISK, SIFT, 16, 8.96962, 12.0495, -3.07987
BRISK, SIFT, 17, 10.9895, 9.91635, 1.07317
BRISK, SIFT, 18, 8.49633, 10.3523, -1.85595
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
SIFT, BRISK, 1, 12.4857, 12.4007, 0.085048
SIFT, BRISK, 2, 12.7245, 14.3632, -1.63876
SIFT, BRISK, 3, 19.866, 13.1614, 6.70463
SIFT, BRISK, 4, 14.0501, 16.4083, -2.35823
SIFT, BRISK, 5, 12.5319, 12.2345, 0.297475
SIFT, BRISK, 6, 13.8845, 12.0317, 1.8528
SIFT, BRISK, 7, 13.4805, 14.617, -1.13652
SIFT, BRISK, 8, 14.0734, 14.2559, -0.182412
SIFT, BRISK, 9, 13.0205, 11.4494, 1.5711
SIFT, BRISK, 10, 11.9077, 9.33601, 2.57172
SIFT, BRISK, 11, 11.2423, 11.7381, -0.495711
SIFT, BRISK, 12, 9.69089, 9.8003, -0.109412
SIFT, BRISK, 13, 9.61285, 9.15484, 0.458009
SIFT, BRISK, 14, 9.1458, 9.04124, 0.104559
SIFT, BRISK, 15, 8.38699, 8.98179, -0.594796
SIFT, BRISK, 16, 8.96962, 8.52059, 0.449036
SIFT, BRISK, 17, 10.9895, 9.13449, 1.85502
SIFT, BRISK, 18, 8.49633, 9.33675, -0.840413
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
SIFT, BRIEF, 1, 12.4857, 14.7759, -2.29015
SIFT, BRIEF, 2, 12.7245, 15.1455, -2.42108
SIFT, BRIEF, 3, 19.866, 13.8324, 6.03361
SIFT, BRIEF, 4, 14.0501, 18.6849, -4.63485
SIFT, BRIEF, 5, 12.5319, 15.6627, -3.13077
SIFT, BRIEF, 6, 13.8845, 14.2089, -0.324445
SIFT, BRIEF, 7, 13.4805, 15.4408, -1.96033
SIFT, BRIEF, 8, 14.0734, 14.8984, -0.824975
SIFT, BRIEF, 9, 13.0205, 11.4494, 1.5711
SIFT, BRIEF, 10, 11.9077, 9.33601, 2.57172
SIFT, BRIEF, 11, 11.2423, 11.0632, 0.17915
SIFT, BRIEF, 12, 9.69089, 10.2204, -0.529497
SIFT, BRIEF, 13, 9.61285, 10.0342, -0.421377
SIFT, BRIEF, 14, 9.1458, 9.7399, -0.594101
SIFT, BRIEF, 15, 8.38699, 9.28935, -0.902359
SIFT, BRIEF, 16, 8.96962, 8.70886, 0.260765
SIFT, BRIEF, 17, 10.9895, 8.79566, 2.19386
SIFT, BRIEF, 18, 8.49633, 8.74526, -0.248926
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
SIFT, SIFT, 1, 12.4857, 12.7893, -0.303605
SIFT, SIFT, 2, 12.7245, 12.9398, -0.215388
SIFT, SIFT, 3, 19.866, 13.448, 6.41809
SIFT, SIFT, 4, 14.0501, 16.5352, -2.48513
